SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_ABBREVIATION,MATCHUP,WL,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FT_PCT,FG3_PCT,PLUS_MINUS,IS_HOME,LAST5_PTS,LAST5_REB,LAST5_AST,LAST5_STL,LAST5_BLK,LAST5_TOV,LAST5_FG_PCT,LAST5_FT_PCT,LAST5_FG3_PCT,LAST5_PLUS_MINUS
22017,0021700028,2017-10-21 00:00:00,1610612753,21,1223,1,114,50,28,7,6,12,0.444,0.85,0.486,21,0,118.5,45.0,26.0,8.5,6.0,18.5,0.492,0.813,0.463,1.0
22017,0021700037,2017-10-21 00:00:00,1610612746,12,747,1,130,52,26,12,2,12,0.545,0.733,0.462,42,1,108.0,59.0,23.0,12.0,3.0,15.0,0.393,0.923,0.364,16.0
22017,0021700027,2017-10-21 00:00:00,1610612761,27,1617,1,128,51,23,5,10,13,0.472,0.838,0.295,34,1,117.0,49.0,26.0,10.0,4.0,17.0,0.47,0.929,0.448,17.0
22017,0021700027,2017-10-21 00:00:00,1610612755,22,1302,0,94,41,18,5,4,20,0.39,0.611,0.333,-34,0,103.5,47.5,22.5,6.5,5.0,17.0,0.42100000000000004,0.7435,0.371,-7.5
22017,0021700032,2017-10-21 00:00:00,1610612745,10,615,1,107,54,17,12,4,15,0.476,0.818,0.234,16,1,113.5,43.5,23.5,8.0,4.0,14.5,0.4415,0.8075000000000001,0.3165,3.0
22017,0021700035,2017-10-21 00:00:00,1610612743,7,459,1,96,58,25,7,2,16,0.435,0.6,0.333,17,1,96.0,38.0,21.0,4.0,3.0,21.0,0.468,0.917,0.481,-10.0
22017,0021700028,2017-10-21 00:00:00,1610612739,5,339,0,93,44,15,4,7,16,0.384,0.741,0.28,-21,1,109.0,47.0,22.0,5.5,3.5,17.5,0.5005000000000001,0.9199999999999999,0.325,11.0
22017,0021700033,2017-10-21 00:00:00,1610612763,14,850,1,111,40,20,8,4,14,0.468,0.784,0.37,10,1,103.0,45.0,19.0,9.0,8.0,12.0,0.424,0.571,0.31,12.0
22017,0021700030,2017-10-21 00:00:00,1610612752,19,1139,0,107,39,20,6,2,14,0.457,0.806,0.267,-4,1,84.0,41.0,19.0,8.0,4.0,26.0,0.405,0.684,0.292,-21.0
22017,0021700038,2017-10-22 00:00:00,1610612737,0,0,0,104,48,21,6,2,16,0.34,0.917,0.259,-12,0,104.0,44.0,19.5,11.0,5.0,13.0,0.445,0.8285,0.3665,-6.0
